,Unnamed: 0.1,Unnamed: 0,Time,Samples,#,Cellbiose,Glucose,Maltose,Lactic acid,Glycerol,Ethanol
0,0,0,0,1,0,0.198,10.752,3.224,0.023,0.155,0.128
1,1,1,0,1,1,0.196,10.766,3.228,0.0,0.166,0.126
2,2,2,0,2,8,0.116,4.877,2.955,0.021,0.102,0.098
3,3,3,0,2,9,0.115,4.887,2.958,0.021,0.105,0.111
4,4,4,0,3,10,0.175,7.206,3.19,0.022,0.076,0.093
5,5,5,0,3,11,0.175,7.225,3.198,0.022,0.082,0.096
6,6,6,0,4,12,0.225,12.433,3.16,0.022,0.079,0.07
7,7,7,0,4,13,0.226,12.476,3.175,0.022,0.08,0.068
8,8,8,0,5,14,0.276,14.219,3.244,0.037,0.127,0.1
9,9,9,0,5,15,0.273,14.185,3.242,0.035,0.125,0.113
10,10,10,0,6,16,0.131,6.041,2.958,0.022,0.088,0.075
11,11,11,0,6,17,0.128,6.046,2.957,0.014,0.08,0.071
12,12,12,0,7,18,0.204,9.276,3.135,0.021,0.062,0.073
13,13,13,0,7,19,0.206,9.367,3.154,0.02,0.068,0.073
14,14,14,0,8,20,0.346,17.349,3.28,0.021,0.092,0.095
15,15,15,0,8,21,0.345,17.344,3.285,0.022,0.093,0.08
16,16,16,0,9,22,0.0,43.838,16.159,0.024,0.086,0.039
17,17,17,0,9,23,0.0,44.746,16.805,0.024,0.087,0.032
18,18,18,0,10,2,0.0,67.39,82.875,0.025,0.065,0.044
19,19,19,0,10,3,0.0,63.096,85.796,0.025,0.066,0.041
20,20,20,0,11,4,0.0,40.761,21.262,0.023,0.066,0.097
21,21,21,0,11,5,0.0,25.523,32.363,0.024,0.067,0.1
22,22,22,0,12,6,1.786,48.323,60.668,0.02,0.051,0.077
23,23,23,0,12,7,1.795,50.008,60.128,0.021,0.051,0.071
24,24,24,2,1,24,0.335,27.827,3.359,0.092,0.263,0.249
25,25,25,2,1,25,0.334,27.73,3.343,0.059,0.174,0.151
26,26,26,2,2,33,0.241,14.817,3.078,0.062,0.202,0.198
27,27,27,2,2,34,0.24,14.797,3.077,0.061,0.2,0.195
28,28,28,2,3,35,0.338,22.448,3.288,0.075,0.172,0.238
29,29,29,2,3,36,0.333,22.39,3.284,0.067,0.186,0.214
30,30,30,2,4,37,0.363,25.468,3.427,0.071,0.195,0.161
31,31,31,2,4,38,0.368,25.527,3.426,0.073,0.2,0.203
32,32,32,2,5,39,0.696,55.19,3.422,0.117,0.267,0.315
33,33,33,2,5,40,0.695,52.794,3.415,0.124,0.278,0.319
34,34,34,2,6,41,0.368,18.949,3.082,0.064,0.184,0.22
35,35,35,2,6,42,0.371,18.905,3.083,0.051,0.158,0.185
36,36,36,2,7,43,0.551,30.799,3.292,0.074,0.176,0.238
37,37,37,2,7,44,0.554,30.766,3.296,0.079,0.179,0.196
38,38,38,2,8,45,0.662,42.99,3.463,0.104,0.197,0.197
39,39,39,2,8,46,0.63,42.84,3.416,0.052,0.149,0.196
40,40,40,2,9,47,1.541,56.196,85.635,0.024,0.096,0.112
41,41,41,2,9,48,1.596,57.957,83.835,0.018,0.087,0.118
42,42,42,2,10,26,1.418,59.138,80.371,0.025,0.067,0.086
43,43,43,2,10,27,1.418,59.138,80.371,0.025,0.067,0.086
44,44,44,2,10,28,1.474,81.872,38.396,0.025,0.07,0.081
45,45,45,2,11,29,1.614,47.711,86.517,0.082,0.154,0.209
46,46,46,2,11,30,1.612,69.43,76.388,0.085,0.142,0.198
47,47,47,2,12,31,1.296,52.368,74.239,0.042,0.101,0.159
48,48,48,2,12,32,1.589,67.911,81.186,0.025,0.075,0.094
49,49,49,4,1,98,0.803,65.982,3.297,0.127,0.357,0.772
50,50,50,4,1,99,0.768,67.425,3.205,0.061,0.251,0.659
51,51,51,4,2,106,0.329,19.844,3.041,0.05,0.233,0.647
52,52,52,4,2,107,0.332,20.662,3.042,0.044,0.225,0.641
53,53,53,4,3,108,0.444,31.1,3.222,0.043,0.213,0.7
54,54,54,4,3,109,0.444,31.025,3.222,0.044,0.213,0.678
