,Time,Samples,#,Glucose,Maltose,Lactic acid,Glycerol,Ethanol
0,72,1,0,2.206,4.733,0.368,7.157,94.874
1,72,1,1,2.209,4.722,0.467,7.262,94.933
2,72,2,2,0.0,4.557,0.58,7.211,94.077
3,72,2,3,2.205,4.557,0.623,7.203,93.985
4,72,3,4,2.235,4.926,0.578,7.251,95.321
5,72,3,5,2.247,4.921,0.567,7.242,95.336
6,72,4,6,2.221,4.854,0.595,7.208,97.5
7,72,4,7,2.219,4.851,0.563,7.191,97.544
8,72,5,8,2.223,4.701,0.463,7.462,94.863
9,72,5,9,2.34,4.756,0.473,7.504,94.53
10,72,6,10,0.0,4.572,0.468,7.109,94.773
11,72,6,11,2.298,4.623,0.479,7.199,94.598
12,72,7,12,2.265,4.959,0.493,7.311,95.593
13,72,7,13,2.267,4.961,0.488,7.314,95.595
14,72,8,14,2.234,4.711,0.5,7.375,99.127
15,72,8,15,2.24,4.712,0.492,7.369,99.175
